"offense","offender_gender","victim_agegroup","offender_agegroup","count"
"0","F","11","16","54"
"0","F","11","17","11"
"0","F","11","18","9"
"0","F","12","1","12"
"0","F","12","2","266"
"0","F","12","3","620"
"0","F","12","4","681"
"0","F","12","5","885"
"0","F","12","6","1041"
"0","F","12","7","967"
"0","F","12","8","701"
"0","F","12","9","384"
"0","F","12","10","341"
"0","F","12","11","440"
"0","F","12","12","1570"
"0","F","12","13","173"
"0","F","12","14","70"
"0","F","12","15","49"
"0","F","12","16","42"
"0","F","12","17","31"
"0","F","12","18","6"
"0","F","12","19","2"
"0","F","13","0","1"
"0","F","13","1","7"
"0","F","13","2","166"
"0","F","13","3","338"
"0","F","13","4","349"
"0","F","13","5","446"
"0","F","13","6","529"
"0","F","13","7","521"
"0","F","13","8","431"
"0","F","13","9","347"
"0","F","13","10","189"
"0","F","13","11","204"
"0","F","13","12","181"
"0","F","13","13","743"
"0","F","13","14","56"
"0","F","13","15","24"
"0","F","13","16","28"
"0","F","13","17","21"
"0","F","13","18","10"
"0","F","13","19","6"
"0","F","14","1","1"
"0","F","14","2","97"
"0","F","14","3","208"
"0","F","14","4","204"
"0","F","14","5","193"
"0","F","14","6","251"
"0","F","14","7","278"
"0","F","14","8","241"
"0","F","14","9","268"
"0","F","14","10","269"
"0","F","14","11","113"
"0","F","14","12","74"
"0","F","14","13","67"
"0","F","14","14","393"
"0","F","14","15","36"
"0","F","14","16","25"
"0","F","14","17","19"
"0","F","14","18","10"
"0","F","15","2","35"
"0","F","15","3","79"
"0","F","15","4","93"
"0","F","15","5","118"
"0","F","15","6","96"
"0","F","15","7","113"
"0","F","15","8","110"
"0","F","15","9","131"
"0","F","15","10","188"
"0","F","15","11","140"
"0","F","15","12","51"
"0","F","15","13","32"
"0","F","15","14","37"
"0","F","15","15","193"
"0","F","15","16","34"
"0","F","15","17","15"
"0","F","15","18","7"
"0","F","15","19","3"
"0","F","16","0","1"
"0","F","16","2","14"
"0","F","16","3","38"
"0","F","16","4","42"
"0","F","16","5","58"
"0","F","16","6","61"
"0","F","16","7","61"
"0","F","16","8","52"
"0","F","16","9","59"
"0","F","16","10","77"
"0","F","16","11","101"
"0","F","16","12","71"
"0","F","16","13","34"
"0","F","16","14","24"
"0","F","16","15","40"
"0","F","16","16","114"
"0","F","16","17","15"
"0","F","16","18","13"
"0","F","16","19","3"
"0","F","17","2","3"
"0","F","17","3","12"
"0","F","17","4","31"
"0","F","17","5","29"
"0","F","17","6","21"
"0","F","17","7","29"
"0","F","17","8","20"
"0","F","17","9","25"
"0","F","17","10","33"
"0","F","17","11","45"
"0","F","17","12","53"
"0","F","17","13","26"
"0","F","17","14","15"
"0","F","17","15","25"
"0","F","17","16","22"
"0","F","17","17","52"
"0","F","17","18","11"
"0","F","17","19","3"
"0","F","18","3","1"
"0","F","18","4","8"
"0","F","18","5","12"
"0","F","18","6","9"
"0","F","18","7","16"
"0","F","18","8","16"
"0","F","18","9","19"
"0","F","18","10","9"
"0","F","18","11","23"
"0","F","18","12","24"
"0","F","18","13","31"
"0","F","18","14","13"
"0","F","18","15","15"
"0","F","18","16","11"
"0","F","18","17","22"
"0","F","18","18","24"
"0","F","18","19","8"
"0","F","19","3","1"
"0","F","19","4","1"
"0","F","19","5","5"
"0","F","19","6","5"
"0","F","19","7","8"
"0","F","19","8","1"
"0","F","19","9","3"
"0","F","19","10","6"
"0","F","19","11","4"
"0","F","19","12","6"
"0","F","19","13","8"
"0","F","19","14","1"
"0","F","19","15","7"
"0","F","19","16","4"
"0","F","19","17","7"
"0","F","19","18","3"
"0","F","19","19","5"
"0","M","0","0","31"
"0","M","0","1","243"
"0","M","0","2","800"
"0","M","0","3","594"
"0","M","0","4","1286"
"0","M","0","5","1844"
"0","M","0","6","1460"
"0","M","0","7","894"
"0","M","0","8","516"
"0","M","0","9","317"
"0","M","0","10","250"
